Wall time,Step,Value
1653610535.4826257,46200,6983.29296875
1653611035.845849,46300,6359.5078125
1653611531.0899649,46400,6077.18115234375
1653612025.6319947,46500,6318.01708984375
1653612522.7439892,46600,6973.814453125
1653613001.417262,46700,6156.38623046875
1653613488.6054242,46800,6770.17578125
1653613979.746124,46900,6538.107421875
1653614459.8201041,47000,7238.6953125
1653614957.3464699,47100,7079.80078125
1653615447.8964093,47200,6619.568359375
1653615939.5592217,47300,7074.5087890625
1653616425.202044,47400,6406.5556640625
1653616897.6687274,47500,6569.8115234375
1653617383.4520364,47600,7067.50341796875
1653617862.6169853,47700,6901.9638671875
1653618353.710349,47800,6887.8173828125
1653618846.3325207,47900,6743.37890625
1653619329.3437364,48000,6619.4873046875
1653619821.9875386,48100,6661.6474609375
1653620311.7839248,48200,6881.96240234375
1653620812.6516986,48300,6399.2216796875
1653621299.5941317,48400,6523.66064453125
1653621786.6122026,48500,6630.6044921875
1653622276.7275474,48600,6290.3017578125
1653622763.330199,48700,6723.3828125
1653623258.8038628,48800,6710.09375
1653623747.3205154,48900,6470.359375
1653624230.5869925,49000,6844.1533203125
1653624722.4437208,49100,6677.873046875
1653625214.4650552,49200,6919.505859375
1653625703.8646352,49300,6960.626953125
1653626182.045461,49400,6554.2119140625
1653626537.1121306,49500,6055.416015625
1653626942.123411,49600,6368.9140625
1653628642.3898616,49700,6672.1748046875
1653629364.1989324,49800,7103.34375
1653632951.9960632,49900,7075.09375
1653633313.0305939,50000,6674.51904296875
1653633666.9570348,50100,6687.2998046875
1653634032.0040438,50200,6565.2939453125
1653634377.0153797,50300,6375.46240234375
1653634724.2155836,50400,6646.84716796875
1653635081.2436132,50500,6599.9072265625
1653635436.9109516,50600,6528.3935546875
1653635795.0474126,50700,6814.3857421875
1653636162.9287639,50800,6583.7041015625
1653636510.563513,50900,6648.6533203125
1653636868.9162583,51000,6396.859375
1653637229.4398227,51100,6503.39013671875
1653637583.7012029,51200,6474.490234375
1653637936.4963207,51300,6961.7216796875
1653638278.128501,51400,6751.845703125
1653638628.6808228,51500,6684.69384765625
1653638973.0495157,51600,6461.10546875
1653639337.0241141,51700,6497.970703125
1653639693.3353238,51800,6530.43359375
1653640047.0171916,51900,6641.64111328125
1653640393.5573688,52000,6661.005859375
1653640766.5309992,52100,6437.556640625
1653641125.4221613,52200,6861.912109375
1653641490.5526502,52300,5907.4228515625
1653641854.853426,52400,6548.740234375
1653642207.348389,52500,6702.970703125
1653642548.888698,52600,7154.775390625
1653642918.6452386,52700,6514.58642578125
1653647908.4223034,52800,6689.466796875
1653648259.4173577,52900,6854.125
1653648726.889111,53000,6759.81689453125
1653649215.0241268,53100,6238.53125
1653649687.229287,53200,6774.8671875
1653650181.8285327,53300,6415.6962890625
1653650672.1176808,53400,6706.66845703125
1653651138.1319852,53500,6726.404296875
1653651627.2877166,53600,6317.0693359375
1653652107.211635,53700,6236.392578125
1653652577.5021532,53800,6856.58447265625
1653653069.9855595,53900,6574.74560546875
1653653555.8799608,54000,6396.74755859375
1653654039.4881766,54100,6537.0556640625
1653654525.3467984,54200,6800.388671875
1653655005.6133783,54300,6763.193359375
1653655469.289383,54400,6972.7490234375
1653655951.5827575,54500,6860.1552734375
1653656446.054464,54600,6305.51171875
1653656937.602021,54700,6739.3916015625
1653657413.247033,54800,6616.220703125
1653657899.302117,54900,6697.38671875
1653658402.4534628,55000,6324.5166015625
1653658874.7872324,55100,6514.24560546875
1653659377.9088843,55200,6500.6181640625
1653659864.2953656,55300,6732.66845703125
1653660364.0714276,55400,6949.498046875
1653660847.0681188,55500,6133.625
1653661341.4223616,55600,6658.30712890625
1653661832.1187456,55700,6683.5966796875
1653662242.505946,55800,6487.75390625
1653662601.3188767,55900,6490.7216796875
1653662940.535973,56000,6535.7744140625
1653663283.7584658,56100,6296.837890625
1653663638.363426,56200,6767.884765625
1653663995.9829352,56300,6623.5830078125
1653664355.7872856,56400,6709.39111328125
1653664711.6402478,56500,6673.0029296875
1653665060.136189,56600,6525.9970703125
1653665419.8808284,56700,6027.4306640625
1653665783.5764081,56800,6158.91796875
1653666146.5916247,56900,6677.0009765625
1653666514.2367384,57000,6428.990234375
1653666872.443349,57100,6454.38037109375
1653667227.6189208,57200,6474.634765625
1653667599.1244786,57300,6804.56884765625
1653667949.7938256,57400,6496.7529296875
1653668298.5736375,57500,6582.55029296875
